dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
1,3.951,4.046,0,0,0,0,0,0,51,21,0.171228
2,3.951,4.046,0,0,0,0,0,0,0,0,0
0,4.046,4.104,0,0,0,0,0,0,130,99,0.134237
1,4.046,4.104,0,0,0,0,0,0,52,22,0.196705
2,4.046,4.104,0,0,0,0,0,0,0,0,0
0,4.104,4.114,0,0,0,0,0,0,130,99,0.137811
1,4.104,4.114,0,0,0,0,0,0,54,23,0.134236
2,4.104,4.114,0,0,0,0,0,0,0,0,0
0,4.114,4.143,0,0,0,0,0,0,130,99,0.138077
1,4.114,4.143,0,0,0,0,0,0,56,23,0.13781
2,4.114,4.143,0,0,0,0,0,0,0,0,0
0,4.143,4.146,0,0,0,0,0,0,130,98,0.138073
1,4.143,4.146,0,0,0,0,0,0,58,23,0.138078
2,4.143,4.146,0,0,0,0,0,0,6,2,1
0,4.146,4.151,0,0,0,0,0,0,130,98,0.138229
1,4.146,4.151,0,0,0,0,0,0,60,24,0.138074
2,4.146,4.151,0,0,0,0,0,0,6,2,1
0,4.151,4.182,0,0,0,0,0,0,130,97,0.136674
1,4.151,4.182,0,0,0,0,0,0,61,25,0.13823
2,4.151,4.182,0,0,0,0,0,0,6,2,1
0,4.182,4.191,0,0,0,0,0,0,130,97,0.141413
1,4.182,4.191,0,0,0,0,0,0,63,26,0.136674
2,4.182,4.191,0,0,0,0,0,0,6,2,1
0,4.191,4.194,0,0,0,0,0,0,130,96,0.141402
1,4.191,4.194,0,0,0,0,0,0,65,28,0.141413
2,4.191,4.194,0,0,0,0,0,0,6,2,1
0,4.194,4.227,0,0,0,0,0,0,130,95,0.13997
1,4.194,4.227,0,0,0,0,0,0,67,29,0.141401
2,4.194,4.227,0,0,0,0,0,0,6,2,1
0,4.227,4.233,0,0,0,0,0,0,130,94,0.139683
1,4.227,4.233,0,0,0,0,0,0,69,30,0.13997
2,4.227,4.233,0,0,0,0,0,0,6,2,1
0,4.233,4.242,0,0,0,0,0,0,130,94,0.140736
1,4.233,4.242,0,0,0,0,0,0,71,31,0.139682
2,4.233,4.242,0,0,0,0,0,0,6,2,1
0,4.242,4.245,0,0,0,0,0,0,130,94,0.140867
1,4.242,4.245,0,0,0,0,0,0,73,33,0.140736
2,4.242,4.245,0,0,0,0,0,0,6,2,1
0,4.245,4.254,0,0,0,0,0,0,130,94,0.14177
1,4.245,4.254,0,0,0,0,0,0,75,35,0.140868
2,4.245,4.254,0,0,0,0,0,0,6,2,1
0,4.254,4.26,0,0,0,0,0,0,130,93,0.142311
1,4.254,4.26,0,0,0,0,0,0,77,33,0.14177
2,4.254,4.26,0,0,0,0,0,0,6,2,1
0,4.26,4.298,0,0,0,0,0,0,130,93,0.14232
1,4.26,4.298,0,0,0,0,0,0,81,33,0.142312
2,4.26,4.298,0,0,0,0,0,0,18,8,1.23844
0,4.298,4.302,0,0,0,0,0,0,130,92,0.1423
1,4.298,4.302,0,0,0,0,0,0,83,33,0.14232
2,4.298,4.302,0,0,0,0,0,0,24,11,1.27295
0,4.302,4.315,0,0,0,0,0,0,130,92,0.14837
1,4.302,4.315,0,0,0,0,0,0,85,34,0.142301
2,4.302,4.315,0,0,0,0,0,0,24,11,1.27295
0,4.315,4.323,0,0,0,0,0,0,130,92,0.149167
